  1.000000, Device.Tile[2][1].Core, Recv 2 Driver.DeviceSouth[1]->Device.Tile[2][1].Core.South, Color 0
  1.000000, Device.Tile[2][0].Core, Recv 1 Driver.DeviceSouth[0]->Device.Tile[2][0].Core.South, Color 0
  2.000000, Device.Tile[2][1].Core, Recv 4 Driver.DeviceSouth[1]->Device.Tile[2][1].Core.South, Color 2
  2.000000, Device.Tile[2][0].Core, Recv 3 Driver.DeviceSouth[0]->Device.Tile[2][0].Core.South, Color 2
  3.000000, Device.Tile[2][0].Core, Send 1 Device.Tile[2][0].Core.North->Device.Tile[1][0].Core.South, Color 0
  3.000000, Device.Tile[2][1].Core, Send 2 Device.Tile[2][1].Core.North->Device.Tile[1][1].Core.South, Color 0
  4.000000, Device.Tile[2][0].Core, Send 3 Device.Tile[2][0].Core.North->Device.Tile[1][0].Core.South, Color 2
  4.000000, Device.Tile[1][1].Core, Recv 2 Device.Tile[2][1].Core.North->Device.Tile[1][1].Core.South, Color 0
  4.000000, Device.Tile[1][0].Core, Recv 1 Device.Tile[2][0].Core.North->Device.Tile[1][0].Core.South, Color 0
  4.000000, Device.Tile[2][1].Core, Send 4 Device.Tile[2][1].Core.North->Device.Tile[1][1].Core.South, Color 2
  5.000000, Device.Tile[1][0].Core, Recv 3 Device.Tile[2][0].Core.North->Device.Tile[1][0].Core.South, Color 2
  5.000000, Device.Tile[1][1].Core, Recv 4 Device.Tile[2][1].Core.North->Device.Tile[1][1].Core.South, Color 2
  7.000000, Device.Tile[1][0].Core, Send 1 Device.Tile[1][0].Core.North->Device.Tile[0][0].Core.South, Color 0
  8.000000, Device.Tile[0][0].Core, Recv 1 Device.Tile[1][0].Core.North->Device.Tile[0][0].Core.South, Color 0
 10.000000, Device.Tile[1][0].Core, Send 4 Device.Tile[1][0].Core.East->Device.Tile[1][1].Core.West, Color 0
 11.000000, Device.Tile[1][1].Core, Recv 4 Device.Tile[1][0].Core.East->Device.Tile[1][1].Core.West, Color 0
 12.000000, Device.Tile[1][0].Core, Send 3 Device.Tile[1][0].Core.North->Device.Tile[0][0].Core.South, Color 2
 13.000000, Device.Tile[0][0].Core, Send 2 Device.Tile[0][0].Core.East->Device.Tile[0][1].Core.West, Color 0
 13.000000, Device.Tile[0][0].Core, Recv 3 Device.Tile[1][0].Core.North->Device.Tile[0][0].Core.South, Color 2
 14.000000, Device.Tile[0][1].Core, Recv 2 Device.Tile[0][0].Core.East->Device.Tile[0][1].Core.West, Color 0
 14.000000, Device.Tile[1][1].Core, Send 2 Device.Tile[1][1].Core.North->Device.Tile[0][1].Core.South, Color 0
 15.000000, Device.Tile[1][0].Core, Send 12 Device.Tile[1][0].Core.East->Device.Tile[1][1].Core.West, Color 2
 15.000000, Device.Tile[0][1].Core, Recv 2 Device.Tile[1][1].Core.North->Device.Tile[0][1].Core.South, Color 0
 16.000000, Device.Tile[1][1].Core, Recv 12 Device.Tile[1][0].Core.East->Device.Tile[1][1].Core.West, Color 2
 17.000000, Device.Tile[1][1].Core, Send 20 Device.Tile[1][1].Core.East->Device.Tile[1][2].Core.West, Color 0
 18.000000, Device.Tile[1][2].Core, Recv 20 Device.Tile[1][1].Core.East->Device.Tile[1][2].Core.West, Color 0
 18.000000, Device.Tile[0][0].Core, Send 6 Device.Tile[0][0].Core.East->Device.Tile[0][1].Core.West, Color 2
 19.000000, Device.Tile[0][1].Core, Recv 6 Device.Tile[0][0].Core.East->Device.Tile[0][1].Core.West, Color 2
 20.000000, Device.Tile[1][1].Core, Send 4 Device.Tile[1][1].Core.North->Device.Tile[0][1].Core.South, Color 2
 21.000000, Device.Tile[0][1].Core, Send 14 Device.Tile[0][1].Core.East->Device.Tile[0][2].Core.West, Color 0
 21.000000, Device.Tile[0][1].Core, Recv 4 Device.Tile[1][1].Core.North->Device.Tile[0][1].Core.South, Color 2
 22.000000, Device.Tile[0][2].Core, Recv 14 Device.Tile[0][1].Core.East->Device.Tile[0][2].Core.West, Color 0
 23.000000, Device.Tile[1][1].Core, Send 44 Device.Tile[1][1].Core.East->Device.Tile[1][2].Core.West, Color 2
 24.000000, Device.Tile[1][2].Core, Recv 44 Device.Tile[1][1].Core.East->Device.Tile[1][2].Core.West, Color 2
 27.000000, Device.Tile[0][1].Core, Send 30 Device.Tile[0][1].Core.East->Device.Tile[0][2].Core.West, Color 2
 28.000000, Device.Tile[0][2].Core, Recv 30 Device.Tile[0][1].Core.East->Device.Tile[0][2].Core.West, Color 2
